vertical,seed,keyword,avg_monthly_searches,competition,competition_index,low_top_page_bid,high_top_page_bid,intent,affiliate_program,affiliate_note
ai_tools,ai writing tool,ai powered writing assistant,90500,Thấp,0,0.31,21.31,unknown,,
ai_tools,ai writing tool,ai writing tool,74000,Trung bình,37,0.88,19.26,unknown,,
ai_tools,ai writing tool,ai writing tools,74000,Trung bình,37,0.88,19.26,unknown,,
ai_tools,ai writing tool,artificial intelligence writing tools,74000,Trung bình,37,0.88,19.26,unknown,,
ai_tools,ai writing tool,ai writing,40500,Trung bình,44,0.5,11.26,unknown,,
ai_tools,ai writing tool,ai writing assistant,40500,Thấp,9,0.87,15.57,unknown,,
ai_tools,ai writing tool,best ai for writing,9900,Trung bình,56,0.66,7.93,commercial,,
ai_tools,ai image generator,ai graphic generator,8100,Trung bình,63,0.53,5.31,unknown,,
ai_tools,ai writing tool,free ai writer,6600,Trung bình,35,0.39,5.27,unknown,,
ai_tools,ai image generator,ai headshot generator free,6600,Cao,71,0.83,5.0,unknown,,
auto,car accessories,car covers,135000,Cao,100,0.26,7.73,unknown,,
auto,car accessories,gmc accessories,14800,Cao,84,0.95,7.92,unknown,,
auto,car accessories,outdoor car cover,9900,Cao,80,0.62,6.45,unknown,,
auto,car accessories,chevrolet accessories,8100,Trung bình,57,0.9,6.63,unknown,,
auto,car accessories,chevy accessories,8100,Trung bình,56,0.82,6.1,unknown,,
auto,car accessories,ultra car mats,8100,Cao,100,0.63,6.02,unknown,,
auto,car accessories,custom floor mats,6600,Cao,100,0.97,5.92,unknown,,
auto,dash cam,dash cams for trucks,6600,Cao,100,0.85,15.48,unknown,,
auto,car accessories,best car covers,5400,Cao,100,0.46,8.42,commercial,,
baby,diapers,diapers,450000,Cao,94,0.22,5.0,unknown,,
baby,diapers,diapers near me,27100,Cao,100,0.72,5.31,unknown,,
baby,diapers,target diapers,18100,Cao,100,0.63,7.84,unknown,,
baby,diapers,hello bello diapers,12100,Cao,100,0.66,42.66,unknown,,
baby,diapers,huggies snug and dry,12100,Cao,100,0.35,5.0,unknown,,
baby,diapers,overnight diapers,9900,Cao,100,0.42,5.0,unknown,,
baby,diapers,huggies diapers size 1,9900,Cao,100,0.21,5.0,unknown,,
baby,diapers,pampers pure diapers,6600,Cao,100,0.17,5.05,unknown,,
baby,diapers,free diapers,5400,Thấp,28,0.92,6.28,unknown,,
beauty,perfume,oil perfumery,33100,Cao,100,0.65,6.45,unknown,,
beauty,perfume,henry rose perfume,22200,Cao,100,0.36,5.64,unknown,,
beauty,skin care products,obagi skin care,14800,Cao,100,0.73,12.42,unknown,,
beauty,skin care products,proactive skin care,14800,Cao,100,0.5,5.65,unknown,,
beauty,skin care products,best skin care,14800,Cao,88,0.6,5.15,commercial,,
beauty,skin care products,your skin,14800,Thấp,20,0.58,8.89,unknown,,
beauty,skin care products,kiehl's moisturizer,12100,Cao,100,0.4,5.25,unknown,,
beauty,skin care products,bioeffect egf serum,9900,Cao,100,0.47,5.35,unknown,,
beauty,skin care products,fresh skin care,8100,Cao,100,0.41,11.46,unknown,,
beauty,skin care products,skinceuticals lha cleanser,5400,Cao,100,0.94,5.0,unknown,,
crypto,crypto exchange,coin dcx,301000,Thấp,0,0.56,5.13,unknown,,
crypto,crypto exchange,cryptocurrency trading,60500,Thấp,26,0.22,5.28,unknown,,
crypto,crypto exchange,binance cryptocurrency exchange,33100,Thấp,0,0.2,7.22,unknown,,
crypto,crypto exchange,binance crypto exchange,33100,Thấp,0,0.2,7.22,unknown,,
crypto,crypto exchange,crypto trading app,12100,Thấp,20,0.4,7.71,navigational,,
crypto,crypto exchange,crypto trading apps,12100,Thấp,20,0.4,7.71,unknown,,
crypto,crypto exchange,bybit app,8100,Thấp,16,0.4,5.71,navigational,,
crypto,crypto exchange,crypto currency investment,6600,Thấp,26,0.89,9.61,unknown,,
crypto,crypto exchange,mexc app,6600,Thấp,17,0.5,5.62,navigational,,
crypto,crypto exchange,binance fees,6600,Thấp,1,0.71,14.96,unknown,,
crypto,crypto exchange,hotbit,5400,Thấp,3,0.42,6.09,unknown,,
crypto,crypto exchange,decentralized exchange,5400,Thấp,6,0.81,10.03,unknown,,
diy_garden,power tools,core drill,40500,Cao,100,0.65,5.07,unknown,,
diy_garden,power tools,evolution chop saw,6600,Cao,100,0.35,8.99,unknown,,
education,online course platform,online course platform,450000,Thấp,32,0.4,15.15,unknown,,
education,online course platform,online class platform,450000,Thấp,32,0.4,15.15,unknown,,
education,online course platform,course online platform,450000,Thấp,32,0.4,15.15,unknown,,
education,online course platform,online learning platforms,165000,Thấp,3,0.39,10.24,unknown,,
education,online course platform,online education platforms,165000,Thấp,3,0.39,10.24,unknown,,
education,online course platform,online e learning platforms,165000,Thấp,3,0.39,10.24,unknown,,
education,language learning app,learn spanish app,60500,Thấp,14,0.97,6.41,navigational,,
education,language learning app,language learning app,40500,Thấp,5,0.92,7.51,navigational,,
education,language learning app,spanish app,18100,Trung bình,33,0.99,5.83,navigational,,
education,online course platform,mooc coursera,8100,Thấp,3,0.65,16.52,unknown,,
education,language learning app,best language learning,6600,Thấp,11,0.73,6.22,commercial,,
education,language learning app,best app to learn another language,6600,Trung bình,52,0.74,5.49,navigational,,
electronics,gaming laptop,alien ware,450000,Cao,100,0.23,5.36,unknown,,
electronics,robot vacuum,dreame vacuum,40500,Cao,100,0.51,5.0,unknown,,
electronics,gaming laptop,pc laptops,27100,Cao,100,0.4,6.34,unknown,,
electronics,gaming laptop,alienware pc gaming,18100,Cao,100,0.35,5.45,unknown,,
electronics,gaming laptop,alienware computers,5400,Cao,100,0.53,9.62,unknown,,
fashion,handbags,consuela bags,49500,Cao,100,0.23,42.73,unknown,,
fashion,mens watches,wooden watches,22200,Cao,100,0.69,5.13,unknown,,
fashion,handbags,custom bags,12100,Cao,100,0.58,5.46,unknown,,
fashion,handbags,branded tote bags,12100,Cao,100,0.29,11.32,unknown,,
fashion,mens watches,paul rich watches,9900,Trung bình,55,0.47,5.42,unknown,,
fashion,mens watches,engraved watches,9900,Cao,100,0.94,5.0,unknown,,
fashion,mens watches,engraved watches for men,8100,Cao,100,0.97,6.06,unknown,,
fashion,mens watches,personalized watches for men,8100,Cao,100,0.97,6.06,unknown,,
fashion,mens watches,wooden watches for men,6600,Cao,100,0.88,7.92,unknown,,
fashion,sunglasses,custom sunglasses,6600,Cao,100,0.83,6.62,unknown,,
finance,personal loan,personal loan,1220000,Trung bình,53,0.41,18.64,unknown,,
finance,personal loan,instant loans,246000,Trung bình,66,0.32,5.6,unknown,,
finance,personal loan,online loan,246000,Cao,68,0.36,7.54,unknown,,
finance,personal loan,quick loans,165000,Cao,75,0.87,14.48,unknown,,
finance,personal loan,cash loan,110000,Trung bình,67,0.53,9.28,unknown,,
finance,online banking app,chase mobile banking app,110000,Thấp,0,0.95,5.35,navigational,,
finance,online banking app,mobile banking,90500,Thấp,11,0.18,14.28,unknown,,
finance,online banking app,m banking,90500,Thấp,11,0.18,14.28,unknown,,
finance,personal loan,low interest personal loans,74000,Trung bình,45,0.63,21.32,unknown,,
finance,personal loan,bank loan,74000,Trung bình,61,0.59,8.56,unknown,,
finance,personal loan,personal loans with low interest rates,74000,Trung bình,45,0.63,21.32,unknown,,
finance,personal loan,low rate personal loans,74000,Trung bình,45,0.63,21.32,unknown,,
finance,personal loan,fast loans,60500,Cao,75,0.8,12.41,unknown,,
finance,personal loan,easy loans,49500,Cao,70,0.57,10.57,unknown,,
finance,personal loan,personal loans online,40500,Trung bình,60,0.57,17.17,unknown,,
finance,online banking app,mobile banking app,40500,Thấp,5,0.12,10.98,navigational,,
finance,online banking app,capital one bank application,40500,Thấp,5,0.62,6.57,unknown,,
finance,online banking app,mobile banking application,40500,Thấp,5,0.12,10.98,unknown,,
finance,personal loan,fast cash loans,33100,Cao,73,0.82,13.52,unknown,,
finance,personal loan,instant cash loans,33100,Trung bình,66,0.45,10.75,unknown,,
finance,personal loan,low credit score loans,33100,Cao,74,0.38,7.36,unknown,,
finance,personal loan,instant money loan,33100,Trung bình,66,0.45,10.75,unknown,,
finance,personal loan,personal loan bank,33100,Trung bình,64,0.34,8.18,unknown,,
finance,personal loan,quick loans online,27100,Cao,71,0.48,10.8,unknown,,
finance,credit card offers,best cashback credit card,27100,Trung bình,61,0.96,9.04,commercial,,
finance,credit card offers,best cashback cards,27100,Trung bình,61,0.96,9.04,commercial,,
finance,online banking app,banking app,27100,Thấp,29,0.88,16.7,navigational,,
finance,personal loan,quick loans no credit check,22200,Cao,74,0.87,11.56,unknown,,
finance,credit card offers,cashback credit card,22200,Trung bình,47,0.65,7.67,unknown,,
finance,online banking app,digital banking apps,22200,Thấp,0,0.59,18.0,unknown,,
finance,personal loan,apply for personal loan,18100,Cao,71,0.68,19.84,unknown,,
finance,personal loan,credit loan,18100,Trung bình,66,0.36,9.9,unknown,,
finance,personal loan,fast loans online,18100,Cao,71,0.6,10.38,unknown,,
finance,personal loan,fast cash loans online,18100,Cao,71,0.6,10.38,unknown,,
finance,personal loan,best loans,14800,Cao,70,0.77,15.02,commercial,,
finance,personal loan,5000 loan,14800,Cao,71,0.32,11.11,unknown,,
finance,personal loan,10000 loan,14800,Trung bình,65,0.22,8.74,unknown,,
finance,personal loan,hsbc loan,14800,Trung bình,57,0.62,7.1,unknown,,
finance,personal loan,personal loan pre approval,12100,Cao,68,0.46,13.39,unknown,,
finance,personal loan,instant loan approval,12100,Trung bình,64,0.49,10.22,unknown,,
finance,personal loan,apply for a student loan,12100,Trung bình,42,0.6,46.0,unknown,,
finance,personal loan,quick money loans,12100,Cao,71,0.67,11.97,unknown,,
finance,online banking app,us bank app,12100,Thấp,8,0.92,6.66,navigational,,
finance,personal loan,quick personal loans,9900,Cao,74,0.83,27.79,unknown,,
finance,personal loan,hsbc personal loan,9900,Trung bình,52,0.47,7.75,unknown,,
finance,personal loan,easy loans online,9900,Cao,69,0.5,9.12,unknown,,
finance,online banking app,citizens bank app,9900,Thấp,3,0.45,6.13,navigational,,
finance,online banking app,citizens bank mobile app,9900,Thấp,3,0.45,6.13,navigational,,
finance,personal loan,borrow money online,8100,Cao,72,0.65,11.47,unknown,,
finance,personal loan,cash loans online,8100,Trung bình,66,0.4,5.06,unknown,,
finance,personal loan,loans for unemployed,8100,Trung bình,61,0.36,5.11,unknown,,
finance,online banking app,online banking app,8100,Trung bình,54,0.97,27.3,navigational,,
finance,online banking app,online bank application,8100,Trung bình,54,0.97,27.3,unknown,,
finance,personal loan,personal student loans,6600,Trung bình,65,0.15,11.78,unknown,,
finance,personal loan,50000 loan,6600,Cao,68,0.26,9.11,unknown,,
finance,personal loan,20000 loan,6600,Cao,69,0.3,10.94,unknown,,
finance,personal loan,long term loans,6600,Cao,71,0.62,6.5,unknown,,
finance,personal loan,kashable loan,6600,Trung bình,61,0.4,8.35,unknown,,
finance,online banking app,send money from credit card to bank account,6600,Trung bình,41,0.66,8.68,unknown,,
finance,personal loan,easy personal loans,5400,Cao,74,0.55,17.99,unknown,,
finance,personal loan,cheap personal loans,5400,Cao,73,1.0,10.57,unknown,,
finance,personal loan,medical loans,5400,Trung bình,58,0.74,13.61,unknown,,
finance,personal loan,fast loan approval,5400,Cao,72,0.37,5.83,unknown,,
finance,online banking app,chase mobile banking,5400,Thấp,3,0.12,11.73,unknown,,
