mảng,tên dự án,domain dự án,lượt tìm kiếm/tháng,chi phí đầu trang (USD),chi phí thấp nhất (USD),cạnh tranh,affiliate,trang affiliate,mạng affiliate,ghi chú,lý do loại
home_garden,one kings lane,onekingslane.com,33100,3.33,0.63,Cao,không thấy,,,,không tìm thấy chương trình affiliate
home_garden,epic gardening,epicgardening.com,22200,4.38,1.05,Cao,không thấy,,,,không tìm thấy chương trình affiliate
hosting,a2 hosting,a2hosting.com,27100,4.56,0.10,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
saas_crm,klaviyo,klaviyo.com,301000,35.66,3.56,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_agents,manus ai,manus.im,1000000,1.99,0.02,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_agents,glean,glean.com,165000,10.46,2.35,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_agents,langgraph,langchain.com,165000,7.71,0.89,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_agents,crewai,crewai.com,90500,7.63,0.32,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_agents,microsoft copilot studio,microsoft.com,40500,8.95,0.65,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_agents,sierra ai,sierra.ai,27100,82.30,6.00,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_agents,moveworks,moveworks.com,14800,30.00,5.00,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_agents,salesforce agentforce,salesforce.com,12100,25.01,4.48,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_agents,cognigy,cognigy.com,9900,48.00,5.08,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_agents,kore ai,kore.ai,8100,86.94,2.31,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_agents,stack ai,stack-ai.com,8100,15.78,1.51,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_agents,beam ai,beam.ai,6600,24.99,2.86,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_agents,aisera,aisera.com,4400,40.12,4.49,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_allinone,chatgpt,openai.com,1120000000,0.19,0.01,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_allinone,gemini ai,gemini.google.com,151000000,0.09,0.01,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_allinone,claude ai,claude.com,24900000,2.51,0.28,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_allinone,perplexity,perplexity.ai,16600000,3.27,0.21,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_allinone,copilot ai,copilot.microsoft.com,2240000,2.10,0.12,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_allinone,openrouter,openrouter.ai,823000,5.39,0.76,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_allinone,you com,you.com,368000,0.58,0.13,Cao,không thấy,,,,không tìm thấy chương trình affiliate
ai_allinone,chatllm,abacus.ai,90500,2.99,0.16,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_allinone,overchat ai,overchat.ai,6600,6.87,0.35,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_business,beautiful ai,beautiful.ai,110000,2.81,0.03,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_business,fathom ai,fathom.video,33100,8.68,0.40,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_business,taskade,taskade.com,27100,7.70,0.78,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_business,motion app,usemotion.com,22200,9.63,0.32,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_business,intercom fin,intercom.com,3600,36.37,6.13,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_coding,github copilot,github.com,673000,5.56,0.61,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_coding,cursor ai,cursor.com,673000,5.64,0.44,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_coding,lovable ai,lovable.dev,673000,3.56,0.25,Trung bình,có,https://lovable.dev/partners/affiliates,Impact,,đăng ký qua Impact
ai_coding,bolt new,bolt.new,90500,4.26,0.30,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
