mảng,tên dự án,domain dự án,lượt tìm kiếm/tháng,chi phí đầu trang (USD),chi phí thấp nhất (USD),cạnh tranh,affiliate,trang affiliate,mạng affiliate,ghi chú
ai_agents,n8n,n8n.io,1830000,2.82,0.04,Trung bình,có,https://n8n.io/affiliates/,PartnerStack,
ai_agents,decagon,decagon.com,110000,168.16,11.55,Thấp,không rõ,,,không tải được trang chủ
ai_agents,devin ai,devin.ai,49500,7.52,1.56,Thấp,không rõ,,,không tải được trang chủ
ai_agents,make com,make.com,49500,6.06,0.10,Trung bình,không rõ,,,không tải được trang chủ
ai_agents,relevance ai,relevanceai.com,33100,12.65,1.68,Trung bình,có,https://relevanceai.com/partners,,
ai_agents,lindy ai,lindy.ai,33100,7.70,0.63,Trung bình,chỉ referral,https://www.lindy.ai/creators,,
ai_agents,zapier agents,zapier.com,3600,10.25,0.92,Trung bình,chỉ referral,https://zapier.com/l/partners,,
ai_allinone,poe ai,poe.com,301000,1.63,0.09,Thấp,không rõ,,,không tải được trang chủ
ai_allinone,monica ai,monica.im,110000,0.41,0.07,Thấp,có,https://monica.im/affiliate,Tapfiliate,
ai_allinone,hix ai,hix.ai,90500,1.58,0.09,Trung bình,có,https://hix.ai/affiliate-program,Tapfiliate,
ai_allinone,merlin ai,getmerlin.in,74000,0.94,0.04,Thấp,có,https://www.getmerlin.in/affiliate-program,Tapfiliate,
ai_allinone,oakgen,oakgen.ai,50,6.08,0.88,Thấp,có,https://oakgen.ai/refer,,
ai_business,gamma app,gamma.app,1000000,0.87,0.03,Trung bình,không rõ,,,không tải được trang chủ
ai_business,otter ai,otter.ai,450000,3.07,0.12,Trung bình,có,https://otter.ai/partner-program,,
ai_business,fireflies ai,fireflies.ai,135000,38.21,1.49,Trung bình,có,https://fireflies.ai/partnership,FirstPromoter,
ai_business,tome ai,tome.app,74000,0.84,0.02,Trung bình,không rõ,,,không tải được trang chủ
ai_business,chatbase,chatbase.co,40500,7.26,0.11,Trung bình,có,https://partners.dub.co/chatbase,,
ai_business,reclaim ai,reclaim.ai,18100,6.35,0.21,Trung bình,có,https://reclaim.ai/affiliate-program,PartnerStack,
ai_business,clickup ai,clickup.com,9900,5.65,0.31,Trung bình,có,https://clickup.com/partners/affiliates,PartnerStack,
ai_coding,replit,replit.com,1500000,4.88,0.39,Thấp,chỉ referral,https://replit.com/refer,,
ai_coding,codeium,codeium.com,60500,5.40,0.52,Trung bình,không rõ,,,không tải được trang chủ
ai_coding,windsurf ai,windsurf.com,49500,3.74,0.52,Trung bình,không rõ,,,không tải được trang chủ
ai_coding,codium ai,qodo.ai,5400,3.46,0.29,Trung bình,chỉ referral,https://www.qodo.ai/community/super-qodoer/,,
ai_seo,surfer seo,surferseo.com,40500,12.80,1.13,Thấp,có,https://surferseo.com/affiliate-program/,PartnerStack,
ai_seo,search atlas,searchatlas.com,12100,13.34,2.08,Trung bình,có,https://searchatlas.com/affiliate-program/,FirstPromoter,
ai_seo,neuronwriter,neuronwriter.com,8100,12.20,0.81,Thấp,có,https://neuronwriter.com/contact/affiliates/,,
ai_seo,clearscope,clearscope.io,3600,15.65,1.54,Thấp,có thể,,Rewardful,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
ai_seo,koala ai,koala.sh,3600,13.45,1.03,Thấp,có,https://koala.sh/pages/affiliate,,
ai_seo,scalenut,scalenut.com,2900,20.63,1.81,Thấp,có,https://www.scalenut.com/affiliate,FirstPromoter,
ai_seo,frase io,frase.io,1300,10.65,0.37,Thấp,có,https://www.frase.io/partners/affiliates,FirstPromoter,
ai_tools,quillbot,quillbot.com,7480000,1.44,0.04,Thấp,không rõ,,,không tải được trang chủ
ai_tools,elevenlabs,elevenlabs.io,5000000,0.66,0.03,Trung bình,có,https://elevenlabs.io/affiliates,PartnerStack,
ai_tools,midjourney,midjourney.com,2240000,2.10,0.15,Trung bình,không rõ,,,không tải được trang chủ
ai_tools,synthesia,synthesia.io,368000,2.76,0.16,Trung bình,có,https://www.synthesia.io/partners/affiliates,Rewardful,
ai_tools,runway ml,runwayml.com,368000,1.59,0.02,Trung bình,có,https://runway.com/affiliate-program,,
ai_tools,descript,descript.com,368000,2.91,0.20,Trung bình,có,https://www.descript.com/affiliate,PartnerStack,
ai_tools,notion ai,notion.so,246000,5.14,0.25,Thấp,có,https://www.notion.com/partners,,
ai_tools,pictory,pictory.ai,135000,2.34,0.03,Trung bình,có,https://pictory.ai/press-and-partners?nav=mega,FirstPromoter,
ai_tools,jasper ai,jasper.ai,110000,6.66,0.24,Trung bình,có,https://www.jasper.ai/legal/affiliates,FirstPromoter,
ai_tools,sudowrite,sudowrite.com,74000,2.68,0.24,Trung bình,có thể,,Rewardful,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
