mảng,tên dự án,domain dự án,có affiliate,trang affiliate,mạng affiliate,ghi chú
ai_agents,aisera,aisera.com,không thấy,,,
ai_agents,beam ai,beam.ai,không thấy,,,
ai_agents,cognigy,cognigy.com,không thấy,,,
ai_agents,crewai,crewai.com,không thấy,,,
ai_agents,decagon,decagon.com,không rõ,,,không tải được trang chủ
ai_agents,devin ai,devin.ai,không rõ,,,không tải được trang chủ
ai_agents,glean,glean.com,không thấy,,,
ai_agents,kore ai,kore.ai,không thấy,,,
ai_agents,langgraph,langchain.com,không thấy,,,
ai_agents,lindy ai,lindy.ai,chỉ referral,https://www.lindy.ai/creators,,
ai_agents,make com,make.com,không rõ,,,không tải được trang chủ
ai_agents,manus ai,manus.im,không thấy,,,
ai_agents,microsoft copilot studio,microsoft.com,không thấy,,,
ai_agents,moveworks,moveworks.com,không thấy,,,
ai_agents,n8n,n8n.io,có,https://n8n.io/affiliates/,PartnerStack,
ai_agents,relevance ai,relevanceai.com,có,https://relevanceai.com/partners,,
ai_agents,salesforce agentforce,salesforce.com,không thấy,,,
ai_agents,sierra ai,sierra.ai,không thấy,,,
ai_agents,stack ai,stack-ai.com,không thấy,,,
ai_agents,zapier agents,zapier.com,chỉ referral,https://zapier.com/l/partners,,
ai_allinone,chatgpt,openai.com,không thấy,,,
ai_allinone,chatllm,abacus.ai,không thấy,,,
ai_allinone,claude ai,claude.com,không thấy,,,
ai_allinone,copilot ai,copilot.microsoft.com,không thấy,,,
ai_allinone,gemini ai,gemini.google.com,không thấy,,,
ai_allinone,hix ai,hix.ai,có,https://hix.ai/affiliate-program,Tapfiliate,
ai_allinone,merlin ai,getmerlin.in,có,https://www.getmerlin.in/affiliate-program,Tapfiliate,
ai_allinone,monica ai,monica.im,có,https://monica.im/affiliate,Tapfiliate,
ai_allinone,oakgen,oakgen.ai,có,https://oakgen.ai/refer,,
ai_allinone,openrouter,openrouter.ai,không thấy,,,
ai_allinone,overchat ai,overchat.ai,không thấy,,,
ai_allinone,perplexity,perplexity.ai,không thấy,,,
